source,file,duration,num_syllables,speech_rate,articulation_rate,total_speaking_time,total_pause_time,num_pauses,mean_pause_duration,mean_f0,stdev_f0,mean_intensity,stdev_intensity,jitter,shimmer,hnr,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
Pipelined Recordings,AA_02dc9f31-ff72-48e4-a017-8c76a8024873_WList_note.wav,37.0,14,0.3783783783783784,0.3810145874156325,36.744,0.256,1,0.256,209.67962079117885,93.34183345834413,63.87269662686514,10.682439432601072,2.1534662260106487,0.12606143784074764,10.811822171310661,-287.09766,96.84614,52.259262,28.450136,-22.388514,36.072166,-10.04492,23.947178,-28.006372,24.629028,-16.471687,16.01491,-13.081623,18.249626,1.282476,16.302433,-13.836823,14.460907,-9.681919,12.793245,-10.880598,15.586559,-7.620984,14.460975,-12.688773,12.776351
Pipelined Recordings,AA_17df8ad6-0d42-4d72-80ea-2f4c2e449616_WList_note.wav,22.0,7,0.3181818181818182,0.3306878306878307,21.168,0.8320000000000005,2,0.41600000000000026,177.5663294161431,35.71008218510602,57.02502885565006,12.193424800219285,1.6999511815111457,0.1319256396899861,9.31735538362512,-379.0215,109.36432,29.267305,34.958473,0.69385403,32.074093,-4.445275,20.342644,-31.097122,20.750551,-3.149232,19.393234,-8.372956,19.45073,-3.2832634,14.127837,-19.147846,18.179451,-8.743473,13.239147,-8.677719,11.114911,-10.843549,13.013066,-4.749819,10.350923
Pipelined Recordings,AA_18feda04-05ee-48b2-9627-c8fbb7d79692_WList_note.wav,28.0,10,0.35714285714285715,0.39407313997477933,25.375999999999998,2.6240000000000006,5,0.5248000000000002,202.11099818159624,84.68534029292725,67.7707359492882,14.4698175708178,2.5209610690740556,0.15902404136461307,8.637379252408161,-294.40442,158.7718,54.035927,31.936577,-0.49216464,37.744904,7.7107077,27.630085,-8.097546,25.573454,-4.2108097,18.625772,-11.923401,20.591202,3.8646789,16.070856,-0.82308376,12.893823,-2.2841415,13.006921,-2.9127316,13.022329,-12.271543,12.364277,-3.1891024,11.50699
Pipelined Recordings,AA_1e55a8cf-8da5-429d-92b1-ca88caa41794_WList_note.wav,10.0,5,0.5,0.5,10.0,0.0,0,0.0,109.42936440509237,67.83326148172156,45.424158052950865,8.744993337459965,2.898230068533191,0.2218464663242207,4.534790464746219,-464.15292,84.147026,81.37633,28.90447,13.247369,23.873707,36.280216,24.853281,-22.974777,19.866081,-14.12937,24.27643,-11.86725,16.375458,-5.409374,15.0421715,-0.69554573,16.226667,-8.023887,11.266465,-7.0574584,13.311707,4.436399,11.100241,-10.965473,13.171221
Pipelined Recordings,AA_20f3f1ce-9317-4e56-87c1-a8a2cec60f2d_WList_note.wav,18.0,8,0.4444444444444444,0.4574565416285453,17.488,0.5119999999999987,1,0.5119999999999987,186.05614770750918,58.85477046276559,61.55006767820539,13.416901122658446,2.844844730630908,0.14763100765287143,7.426191191447803,-312.7862,123.9982,41.358147,38.49806,12.898091,34.230015,-0.7872098,23.67284,-22.195562,21.803778,-25.75957,23.795008,-13.962128,18.731796,-9.813349,14.760262,-13.183755,16.466465,-8.998739,11.922568,-6.6451817,8.491904,-9.534673,11.15356,-5.530985,11.025103
Pipelined Recordings,AA_22d0f014-daa4-4eb8-9b7c-ecff91638075_WList_note.wav,33.0,13,0.3939393939393939,0.42087542087542085,30.888,2.111999999999998,5,0.42239999999999955,161.57707526389285,51.51120013381411,55.145306260999305,11.241441837187997,1.550220908420633,0.12653208026979856,9.721503762379191,-407.0409,103.57532,56.49926,33.322155,14.312655,33.28957,7.3372912,26.555841,-32.631744,29.561153,-6.3627295,17.162926,-7.5363545,14.938123,-9.410208,13.935401,-4.5978823,13.137474,-9.860132,11.258146,-5.3606324,13.157638,-6.234963,10.924781,-12.89441,11.33513
Pipelined Recordings,AA_2dc57c78-f97d-4d33-8983-b38462593a52_WList_note.wav,23.0,9,0.391304347826087,0.4308693986978169,20.888,2.1119999999999974,4,0.5279999999999994,175.10338981056157,56.89195908001153,51.00094200743885,10.521627262011016,2.402897754679538,0.13950643237404625,11.431508327086856,-474.58844,94.63032,93.07897,38.534744,19.300203,31.954088,1.8181843,24.029581,-6.4843335,25.243992,-1.9460944,18.16622,-7.497005,14.519745,-2.580548,13.580198,-13.370274,11.061683,-0.20510733,10.655679,-3.9962707,9.84083,-7.092444,10.215976,-5.3051105,9.231284
Pipelined Recordings,AA_3c761114-2417-497f-869a-d962136bd00d_WList_note.wav,10.0,6,0.6,0.6,10.0,0.0,0,0.0,123.70042566534089,50.453885639419866,54.582774875158,5.922729932950608,3.9426042191420088,0.2055166321937439,4.8413236767423795,-321.78445,64.81228,57.515854,24.71926,14.089301,22.064646,3.8992636,12.092742,-18.232002,16.401064,-14.5065775,17.825628,-7.792307,13.010747,-2.4039178,8.179986,-13.439399,10.64218,0.6474663,8.80517,-12.44727,10.417437,-3.1644816,7.5622764,-16.34614,8.569058
Pipelined Recordings,AA_3c8c46ee-3b30-4f47-bb33-92403bad4c80_WList_note.wav,20.0,12,0.6,0.6,20.0,0.0,0,0.0,193.74917482710546,33.68812309194467,59.9408381284581,9.896923997520124,2.554886380246759,0.14739944367405328,7.298185087591264,-294.74216,84.48599,46.821167,28.279741,6.5235476,20.861578,-4.392005,16.654156,-17.167854,19.96935,-1.7142662,11.449698,-10.187839,10.709902,-2.3749614,7.617918,-10.11912,7.3489137,-1.600115,8.59345,-12.258213,8.238566,-4.978319,6.283187,-11.689357,6.8986244
Pipelined Recordings,AA_3d4efff5-4c4a-4033-a1d0-7833398bd9db_WList_note.wav,9.0,3,0.3333333333333333,0.3456221198156682,8.68,0.3199999999999994,1,0.3199999999999994,157.07349763193008,44.671251514049224,62.473693389233574,12.568834527236566,2.263572821064061,0.12914311970629822,8.263072479204201,-318.82498,96.26307,54.99139,22.202599,-5.1365156,16.979319,-2.709772,18.290678,-17.306572,15.976936,-19.692934,16.892475,-9.039175,11.528296,-1.7419683,11.68128,-13.625429,10.595191,-6.574067,9.610108,-11.183791,10.034164,-6.7947507,8.297654,-11.351282,8.117797
